peaks minus_1 plus_1
chr14:35031190-35032471 0 0
chr14:35032543-35033824 0 0
chr14:35119503-35120784 3 32
chr14:35156484-35157765 2 0
chr14:35182069-35183672 16 25
chr14:35209404-35210685 7 1
chr14:35252017-35253298 0 8
chr14:35294629-35295910 2 5
chr14:35381335-35382616 0 4
chr14:35514410-35515691 2 0
chr14:35578487-35579768 2 16
chr14:35590560-35591841 33 26
chr14:35591027-35592442 13 44
chr14:35591622-35592903 3 71
chr14:35628668-35629949 0 11
chr14:35683513-35684794 5 32
chr14:35761082-35762363 17 23
chr14:35804918-35806199 19 1
chr14:35818931-35820212 1 7
chr14:35834556-35836136 81 100
chr14:35864343-35865624 0 0
chr14:35866052-35867333 13 28
chr14:35871373-35872681 23 31
chr14:35899112-35900393 12 21
chr14:35915789-35917070 8 6
chr14:35981018-35982299 0 5
chr14:36107605-36108886 26 0
chr14:36147248-36148529 4 0
chr14:36179528-36180809 11 0
chr14:36192073-36193354 3 0
chr14:36319334-36320615 1 5
chr14:36396776-36398057 0 39
chr14:36416699-36417980 25 5
chr14:36457938-36459219 20 9
chr14:36495651-36496932 0 33
chr14:36517350-36518631 0 27
chr14:36535356-36536842 29 0
chr14:36559741-36561022 3 15
chr14:36582820-36584101 6 3
chr14:36630321-36632091 85 25
chr14:36633701-36634982 5 1
chr14:36675101-36676382 3 0
chr14:36730247-36731528 28 8
chr14:36741364-36742752 2 30
chr14:36758781-36760062 0 1
chr14:36818413-36819694 1 0
chr14:36915626-36916907 9 2
chr14:36935591-36936872 21 1
chr14:36959951-36961232 9 8
chr14:36981027-36982308 1 0
chr14:36983059-36984340 32 2
chr14:36987404-36988685 5 0
chr14:37016525-37017806 9 0
chr14:37050532-37051813 4 7
chr14:37102708-37103989 3 5
chr14:37116427-37117708 3 18
chr14:37124490-37125771 6 8
chr14:37182578-37183859 0 1
chr14:37194808-37196089 0 0
chr14:37208708-37209989 8 0
chr14:37271114-37272729 37 21
chr14:37297862-37299143 1 19
chr14:37374124-37375405 0 0
chr14:37392601-37393882 0 3
chr14:37435788-37437069 4 2
chr14:37445238-37446526 22 4
chr14:37451056-37452337 31 24
chr14:37549598-37551245 22 19
chr14:37641111-37642392 19 7
chr14:37650745-37652026 0 2
chr14:37866314-37867824 56 11
chr14:37874291-37875572 16 0
chr14:37954563-37955844 0 0
chr14:38015011-38016292 0 4
chr14:38015502-38016783 39 25
chr14:38043445-38044726 1 20
chr14:38057092-38058373 3 23
chr14:38064469-38065845 79 163
chr14:38066848-38068129 12 10
chr14:38124216-38125522 11 5
chr14:38246272-38247553 1 7
chr14:38274549-38275830 9 1
chr14:38401317-38402598 7 0
chr14:38424183-38425464 17 10
chr14:38426755-38428036 18 0
chr14:38598821-38600102 1 3
chr14:38667421-38668702 13 7
chr14:38710019-38711300 0 16
chr14:38729514-38730795 0 0
chr14:38760487-38761768 0 18
chr14:38935400-38936681 1 0
chr14:38958750-38960031 0 0
chr14:39038775-39040056 0 14
chr14:39163919-39165200 3 9
chr14:39208540-39209821 4 8
chr14:39277559-39279128 43 5
chr14:39307509-39308790 6 16
chr14:39308911-39310192 0 0
chr14:39349330-39350611 2 2
chr14:39401076-39402591 94 38
chr14:39529300-39530581 1 20
chr14:39530384-39531665 22 11
chr14:39559530-39560811 21 13
chr14:39560121-39561402 9 4
chr14:39571257-39572538 3 21
chr14:39626668-39627949 0 0
chr14:39638685-39639966 20 25
chr14:39643921-39645339 68 53
chr14:39672659-39673940 33 17
chr14:39673070-39674490 41 14
chr14:39754683-39755964 2 29
chr14:39852454-39853735 0 21
chr14:39875252-39876533 0 24
chr14:40005655-40006936 11 1
chr14:40058591-40059872 15 9
chr14:40118273-40119554 17 7
chr14:40151683-40152964 0 0
chr14:40186253-40187534 26 0
chr14:40263764-40265045 2 5
chr14:40309656-40310937 7 0
chr14:40319294-40320575 0 0
chr14:40500884-40502165 4 24
chr14:40551072-40552353 7 14
chr14:40749394-40750675 0 21
chr14:40761545-40762826 0 24
chr14:40816593-40817937 5 1
chr14:40888168-40889449 4 1
chr14:40906327-40907608 0 0
chr14:40915763-40917044 0 0
chr14:40966441-40967722 14 1
chr14:41052302-41053583 0 0
chr14:41185932-41187213 29 2
chr14:41236146-41237427 9 21
chr14:41477862-41479143 0 0
chr14:41581443-41582724 17 3
chr14:41585983-41587264 1 32
chr14:41613117-41614398 9 12
chr14:41724104-41725385 0 0
chr14:41737185-41738466 0 0
chr14:41841095-41842376 1 11
chr14:41844627-41845908 18 1
chr14:41884696-41885977 0 29
chr14:41973265-41974546 1 20
chr14:42009261-42010542 23 0
chr14:42018913-42020194 7 5
chr14:42065818-42067099 38 47
chr14:42066211-42067550 53 55
chr14:42074845-42076278 28 40
chr14:42076455-42077736 2 33
chr14:42143804-42145085 1 55
chr14:42144252-42145533 1 60
chr14:42355760-42357041 0 0
chr14:42410431-42411712 0 19
chr14:42463334-42464615 0 0
chr14:42581230-42582511 11 34
chr14:42661100-42662658 20 18
chr14:42683178-42684459 7 23
chr14:42707720-42709001 27 2
chr14:42872052-42873333 0 23
chr14:42882869-42884150 0 0
chr14:42938524-42939805 7 1
chr14:42971050-42972331 0 12
chr14:42971687-42972968 10 12
chr14:42973032-42974313 0 26
chr14:43109274-43110555 0 0
chr14:43210922-43212203 27 11
chr14:43247739-43249020 0 23
chr14:43279049-43280330 0 27
chr14:43412102-43413383 0 0
chr14:43530933-43532214 28 0
chr14:43541887-43543168 5 19
chr14:43637503-43638784 0 15
chr14:43758999-43760280 0 33
chr14:43838966-43840342 55 4
chr14:43923064-43924506 12 40
chr14:43960782-43962392 44 3
chr14:44017187-44018468 0 3
chr14:44049834-44051115 6 4
chr14:44114027-44115308 2 2
chr14:44256552-44257833 0 24
chr14:44271794-44273150 52 7
chr14:44294537-44295818 0 18
chr14:44340490-44341771 3 33
chr14:44365163-44366444 0 0
chr14:44460442-44461723 0 0
chr14:44467882-44469163 0 27
chr14:44480417-44481698 14 0
chr14:44501792-44503073 21 1
chr14:44636705-44637986 5 19
chr14:44785105-44786386 59 63
chr14:44785505-44786912 79 91
chr14:44836207-44837488 18 8
chr14:44873150-44874431 0 0
chr14:45016270-45017551 2 0
chr14:45025699-45026980 31 1
chr14:45026423-45027704 0 7
chr14:45149525-45150806 1 5
chr14:45191841-45193122 8 10
chr14:45233713-45234994 9 23
chr14:45365733-45367014 18 37
chr14:45380551-45381832 11 24
chr14:45399405-45400686 1 16
chr14:45400349-45401630 0 0
chr14:45431111-45432392 27 13
chr14:45487952-45489233 0 3
chr14:45579319-45580600 28 13
chr14:45645517-45646798 21 8
chr14:45665618-45666899 0 0
chr14:45691171-45692452 0 0
chr14:45696598-45697879 19 3
chr14:45844625-45845906 4 11
chr14:45857506-45858787 10 4
chr14:45892794-45894075 0 0
chr14:45977482-45978763 1 3
chr14:46004562-46005968 22 26
chr14:46052042-46053323 15 1
chr14:46184077-46185377 5 6
chr14:46254194-46255749 81 13
chr14:46399154-46400435 14 0
chr14:46442984-46444265 8 1
chr14:46666588-46667869 11 12
chr14:46684913-46686194 0 19
chr14:46794529-46795810 2 0
chr14:46827775-46829056 2 5
chr14:46846957-46848238 1 6
chr14:46965161-46966442 0 11
chr14:46976528-46977809 12 0
chr14:46977123-46978457 28 8
chr14:47131153-47132434 3 7
chr14:47354419-47355806 19 18
chr14:47769578-47770859 0 0
chr14:47811966-47813247 4 1
chr14:47826536-47827817 0 0
chr14:47860310-47861591 1 2
chr14:47921906-47923187 0 0
chr14:47954649-47955930 1 37
chr14:48064971-48066252 1 0
chr14:48075892-48077173 0 0
chr14:48088114-48089395 3 8
chr14:48096137-48097418 2 10
chr14:48184091-48185372 14 23
chr14:48236881-48238162 20 0
chr14:48317063-48318344 0 22
chr14:48369764-48371045 3 9
chr14:48580854-48582135 1 1
chr14:48652386-48653667 0 35
chr14:48676247-48677528 3 1
chr14:48699212-48700493 6 20
chr14:48711051-48712332 18 0
chr14:48817838-48819119 0 0
chr14:48819303-48820584 2 23
chr14:48842821-48844102 0 0
chr14:48970254-48971535 17 0
chr14:49032244-49033783 33 33
chr14:49166657-49167938 27 16
chr14:49215466-49216747 28 6
chr14:49411069-49412350 0 26
chr14:49413353-49414634 0 0
chr14:49443303-49444584 0 1
chr14:49500277-49501558 10 21
chr14:49514759-49516040 0 1
chr14:49597843-49599124 4 2
chr14:49604033-49605314 16 9
chr14:49665739-49667020 0 25
chr14:49678808-49680089 4 17
chr14:49716289-49717823 37 22
chr14:49785437-49786718 0 0
chr14:49822820-49824286 28 29
chr14:49823520-49824801 2 5
chr14:49890452-49891733 5 0
chr14:49917648-49918929 21 1
chr14:50052137-50053418 18 10
chr14:50064910-50066191 8 16
chr14:50073475-50074756 0 0
chr14:50090275-50091556 7 8
chr14:50100030-50101328 29 47
chr14:50120201-50121482 0 1
chr14:50154456-50155737 14 0
chr14:50216521-50217802 5 9
chr14:50294850-50296131 1 0
chr14:50359517-50360798 18 9
chr14:50373910-50375268 40 2
chr14:50458246-50459527 8 1
chr14:50469210-50470778 60 14
chr14:50495417-50496698 0 19
chr14:50504890-50506171 19 82
chr14:50527062-50528343 24 34
chr14:50575828-50577109 0 25
chr14:50582069-50583350 7 2
chr14:50611403-50612684 3 1
chr14:50696636-50697917 21 3
chr14:50813755-50815036 11 2
chr14:50827520-50828801 14 6
chr14:50831935-50833216 8 12
chr14:50923024-50924305 1 0
chr14:50925752-50927033 1 27
chr14:51059946-51061227 25 9
chr14:51060471-51061752 1 2
chr14:51113952-51115233 2 17
chr14:51120459-51121740 2 21
chr14:51137191-51138472 0 1
chr14:51207173-51208454 5 5
chr14:51207752-51209033 20 0
chr14:51236263-51237544 20 4
chr14:51237027-51238308 10 5
chr14:51241529-51242810 8 8
chr14:51256504-51257785 0 32
chr14:51289214-51290495 5 9
chr14:51298337-51299618 3 19
chr14:51343331-51344612 0 27
chr14:51370404-51371685 9 2
chr14:51376902-51378183 11 0
chr14:51381994-51383275 0 1
chr14:51420902-51422183 0 43
chr14:51452023-51453304 2 0
chr14:51495248-51496529 4 14
chr14:51542277-51543558 0 0
chr14:51589990-51591271 6 18
chr14:51760088-51761369 11 5
chr14:51764673-51765954 0 0
chr14:51800137-51801418 13 25
chr14:51859086-51860367 0 0
chr14:51862296-51863577 12 5
chr14:51929934-51931215 5 1
chr14:51941017-51942298 0 14
chr14:51964672-51965953 4 2
chr14:52000908-52002189 12 8
chr14:52020817-52022110 4 19
chr14:52042189-52043475 24 13
chr14:52049118-52050399 5 36
chr14:52194509-52195790 10 33
chr14:52301127-52302408 1 33
chr14:52313378-52314659 19 8
chr14:52372073-52373354 9 3
chr14:52387267-52388548 20 1
chr14:52406098-52407379 5 11
chr14:52419804-52421085 4 0
chr14:52477680-52478961 6 20
chr14:52480487-52481768 2 22
chr14:52519487-52521146 11 14
chr14:52589654-52590935 3 26
chr14:52674384-52675768 14 25
chr14:52716876-52718157 19 1
chr14:52719565-52720846 0 1
chr14:52762379-52763660 1 25
chr14:52810638-52811919 2 27
chr14:52936121-52937402 6 2
chr14:53018430-53019711 10 24
chr14:53167035-53168316 15 0
chr14:53196716-53197997 8 4
chr14:53211383-53212664 2 12
chr14:53257901-53259182 8 8
chr14:53298497-53299778 7 9
chr14:53314550-53315831 2 14
chr14:53347577-53348858 5 22
chr14:53372468-53374058 36 21
chr14:53506160-53507441 5 34
chr14:53551609-53552890 27 1
chr14:53570207-53571488 0 14
chr14:53585330-53586611 0 22
chr14:53647628-53648909 9 39
chr14:53707619-53709105 25 6
chr14:53793006-53794287 0 26
chr14:53857915-53859196 6 23
chr14:53858487-53859768 21 37
chr14:53862078-53863359 0 1
chr14:53876353-53877634 5 26
chr14:53928744-53930025 14 17
chr14:53929204-53930485 39 17
chr14:54027370-54028651 7 13
chr14:54074616-54076132 27 8
chr14:54107130-54108411 0 32
chr14:54133004-54134285 6 15
chr14:54216131-54217412 4 5
chr14:54298481-54299762 0 1
chr14:54316536-54318047 28 14
chr14:54574765-54576046 0 0
chr14:54699998-54701279 1 0
chr14:54718285-54719767 88 37
chr14:54719861-54721142 10 9
chr14:54740026-54741307 0 0
chr14:54766876-54768157 0 2
chr14:54776026-54777307 5 27
chr14:54777581-54778862 0 3
chr14:54845732-54847013 0 0
chr14:54860512-54861793 1 5
chr14:54925090-54926371 16 29
chr14:54936583-54937864 21 15
chr14:54963581-54964862 7 2
chr14:54980932-54982213 2 6
chr14:54984224-54985505 3 4
chr14:55016464-55017745 2 10
chr14:55033756-55035098 31 41
chr14:55107481-55108762 14 21
chr14:55118835-55120116 2 7
chr14:55175583-55176864 3 26
chr14:55196653-55197934 7 0
chr14:55203251-55204532 0 14
chr14:55239334-55240823 31 35
chr14:55240018-55241299 22 14
chr14:55270459-55272150 46 22
chr14:55281366-55282647 5 8
chr14:55284238-55285519 6 1
chr14:55428607-55429888 12 2
chr14:55493031-55494312 3 1
chr14:55509210-55510491 0 0
chr14:55531578-55532859 6 23
chr14:55543876-55545244 45 13
chr14:55569010-55570291 10 6
chr14:55574000-55575305 33 37
chr14:55647348-55648629 0 5
chr14:55688031-55689312 0 0
chr14:55695374-55696655 3 0
chr14:55799603-55800884 0 0
chr14:55851774-55853216 30 12
chr14:55880847-55882128 22 4
chr14:55914045-55915604 26 63
chr14:56007054-56008335 0 11
chr14:56025532-56026813 2 16
chr14:56162462-56163743 29 3
chr14:56212806-56214087 24 9
chr14:56263174-56264455 4 14
chr14:56269755-56271036 22 18
chr14:56270458-56271739 7 25
chr14:56280153-56281467 8 11
chr14:56327922-56329358 23 46
chr14:56341223-56342504 6 8
chr14:56471307-56472693 12 13
chr14:56485495-56486776 8 10
chr14:56523316-56524597 13 8
chr14:56559517-56560798 0 0
chr14:56607245-56608540 0 23
chr14:56644155-56645436 18 10
chr14:56710136-56711417 8 13
chr14:56738455-56739736 7 27
chr14:56763135-56764416 8 3
chr14:56776415-56777696 2 18
chr14:56799559-56800840 23 1
chr14:56799984-56801265 26 1
chr14:56855605-56856886 6 12
chr14:56907249-56908530 0 0
chr14:56981121-56982402 3 27
chr14:57005454-57006735 6 0
chr14:57021390-57022671 0 1
chr14:57044927-57046208 7 1
chr14:57080994-57082275 4 16
chr14:57132287-57133868 82 36
chr14:57153791-57155072 0 8
chr14:57225396-57226677 2 26
chr14:57265025-57266306 2 12
chr14:57280571-57281852 0 4
chr14:57302509-57303790 0 0
chr14:57431640-57432921 23 11
chr14:57443847-57445128 19 15
chr14:57444338-57445619 16 15
chr14:57444991-57446272 10 47
chr14:57450497-57451778 0 0
chr14:57490680-57491961 1 59
chr14:57504724-57506005 0 33
chr14:57521808-57523443 20 55
chr14:57602420-57603701 20 2
chr14:57619485-57620766 8 11
chr14:57684059-57685340 0 3
chr14:57690651-57691932 1 0
chr14:57742109-57743390 1 10
chr14:57742760-57744041 1 0
chr14:57757225-57758506 3 0
chr14:57798918-57800406 8 30
chr14:57810077-57811426 29 28
chr14:57856678-57857959 22 36
chr14:57960017-57961298 4 3
chr14:58191903-58193184 14 6
chr14:58246660-58247941 0 0
chr14:58252226-58253630 40 1
chr14:58283603-58284884 14 4
chr14:58299593-58300874 8 10
chr14:58341332-58342613 0 35
chr14:58390331-58391612 0 21
chr14:58764131-58765412 2 25
chr14:58764683-58765964 2 20
chr14:58923520-58924801 7 26
chr14:58940692-58941973 0 0
chr14:59026003-59027284 1 1
chr14:59028465-59029746 0 18
chr14:59039694-59040975 0 9
chr14:59052821-59054102 21 29
chr14:59093012-59094293 4 6
chr14:59112496-59113777 7 19
chr14:59144986-59146267 21 5
chr14:59165066-59166347 0 25
chr14:59197549-59198830 17 2
chr14:59215164-59216792 29 14
chr14:59300619-59301928 45 9
chr14:59331136-59332417 4 3
chr14:59375747-59377028 12 0
chr14:59438195-59439476 21 9
chr14:59484371-59485652 0 0
chr14:59487971-59489252 0 2
chr14:59499919-59501200 0 16
chr14:59504888-59506169 22 11
chr14:59584513-59585794 0 22
chr14:59650099-59651380 6 4
chr14:59654823-59656104 35 27
chr14:59655347-59656628 17 18
chr14:59798068-59799349 0 6
chr14:59814025-59815306 1 4
chr14:59821906-59823187 0 8
chr14:59824302-59825928 27 35
chr14:59829430-59830711 5 0
chr14:59864981-59866262 1 0
chr14:59941871-59943227 16 7
chr14:59983121-59984402 0 13
chr14:59995398-59996679 2 0
chr14:60027387-60028668 0 1
chr14:60032644-60033925 0 22
chr14:60044872-60046153 0 19
chr14:60052365-60053646 4 18
chr14:60124003-60125284 23 4
chr14:60174288-60175569 0 1
chr14:60193091-60194681 4 16
chr14:60212282-60213563 21 2
chr14:60213076-60214357 13 4
chr14:60284798-60286079 23 0
chr14:60337588-60338869 0 17
chr14:60385812-60387225 73 99
chr14:60386357-60387638 38 50
chr14:60458187-60459468 25 13
chr14:60527614-60528895 16 6
chr14:60558033-60559634 11 8
chr14:60592671-60593952 5 20
chr14:60762085-60763366 11 0
chr14:60765364-60766645 1 0
chr14:60771321-60772602 9 24
chr14:60784342-60785623 0 41
chr14:60789438-60791073 18 9
chr14:60895965-60897246 0 1
chr14:60910155-60911436 3 27
chr14:60995428-60996709 0 2
chr14:61103495-61104776 10 8
chr14:61118040-61119321 20 16
chr14:61186536-61187817 4 14
chr14:61189189-61190470 2 15
chr14:61322783-61324064 6 42
chr14:61357630-61358911 3 0
chr14:61439887-61441168 0 0
chr14:61447248-61448529 1 7
chr14:61448290-61449571 1 12
chr14:61541384-61542665 0 20
chr14:61546647-61547928 0 24
chr14:61570043-61571501 229 76
chr14:61591594-61593067 30 14
chr14:61614539-61615820 23 15
chr14:61644943-61646435 114 110
chr14:61706579-61707860 2 0
chr14:61727756-61729037 0 3
chr14:61764646-61765927 0 7
chr14:61822040-61823503 33 9
chr14:61900946-61902227 0 5
chr14:61923672-61924953 15 4
chr14:61943100-61944381 13 2
chr14:61959251-61960532 3 13
chr14:61991142-61992423 7 10
chr14:61992648-61993929 4 26
chr14:62003824-62005227 25 16
chr14:62028136-62029417 37 22
chr14:62028569-62029861 65 62
chr14:62129432-62130713 10 1
chr14:62162381-62163662 1 0
chr14:62221647-62222928 16 22
chr14:62274451-62275732 1 0
chr14:62297605-62298886 2 28
chr14:62440028-62441342 2 0
chr14:62442273-62443554 5 1
chr14:62495753-62497034 0 10
chr14:62523301-62524582 0 36
chr14:62532932-62534213 4 14
chr14:62550183-62551464 5 10
chr14:62566479-62567760 12 1
chr14:62583798-62585079 2 49
chr14:62613103-62614384 0 19
chr14:62757015-62758296 5 1
chr14:62763783-62765064 0 21
chr14:62775337-62776618 0 0
chr14:62778544-62779825 15 3
chr14:62813629-62814910 12 13
chr14:62893162-62894443 2 16
chr14:62894787-62896134 18 22
chr14:62918485-62919766 0 19
chr14:62922212-62923493 30 3
chr14:62949109-62950408 5 9
chr14:63096477-63097758 1 0
chr14:63112896-63114177 22 0
chr14:63268752-63270033 46 3
chr14:63272697-63273978 8 0
chr14:63372323-63373604 1 41
chr14:63379280-63380561 25 0
chr14:63589728-63591009 0 5
chr14:63645212-63646888 17 27
chr14:63735568-63736849 0 11
chr14:63749478-63750759 1 1
chr14:63779163-63780444 7 8
chr14:63903850-63905131 0 36
chr14:64269322-64270912 44 73
chr14:64292095-64293376 0 38
chr14:64303132-64304413 2 30
chr14:64407813-64409094 1 0
chr14:64456449-64457730 5 0
chr14:64464126-64465407 7 6
chr14:64490446-64492007 20 26
chr14:64498153-64499434 0 4
chr14:64528372-64529653 0 1
chr14:64562182-64563463 4 0
chr14:64649041-64650322 0 0
chr14:64716198-64717479 0 0
chr14:64735241-64736522 5 12
chr14:64796307-64797588 0 3
chr14:64803232-64804513 0 0
chr14:64876858-64878139 17 0
chr14:64969569-64971101 19 27
chr14:64970275-64971556 7 11
chr14:65007338-65008619 0 42
chr14:65062071-65063352 0 2
chr14:65064774-65066055 5 3
chr14:65085527-65086808 8 1
chr14:65111906-65113187 10 23
chr14:65145176-65146457 1 7
chr14:65174091-65175372 3 26
chr14:65193701-65194982 52 2
chr14:65208056-65209337 7 38
chr14:65209108-65210389 19 0
chr14:65239858-65241139 12 0
chr14:65251761-65253356 56 11
chr14:65260471-65261752 6 5
chr14:65262857-65264138 17 1
chr14:65291877-65293242 7 18
chr14:65409111-65410576 10 16
chr14:65419306-65420587 7 24
chr14:65464959-65466240 10 8
chr14:65471780-65473215 21 19
chr14:65528036-65529317 5 32
chr14:65548150-65549431 36 7
chr14:65628886-65630167 5 6
chr14:65746033-65747314 6 30
chr14:65756995-65758280 4 16
chr14:65757629-65758910 18 18
chr14:65822479-65823791 45 45
chr14:66270419-66271700 4 17
chr14:66299722-66301003 5 1
chr14:66391797-66393078 15 0
chr14:66477918-66479199 3 0
chr14:66478618-66479899 28 2
chr14:66481086-66482367 13 2
chr14:66484644-66485925 11 5
chr14:66520401-66522242 34 52
chr14:66548734-66550015 3 5
chr14:66570386-66571667 10 13
chr14:66594162-66595443 0 24
chr14:66641002-66642283 4 1
chr14:66692981-66694262 12 42
chr14:66759215-66760496 18 3
chr14:66807130-66808411 1 0
chr14:66964594-66965875 0 0
chr14:66998861-67000142 13 16
chr14:67129343-67130624 0 2
chr14:67168464-67169745 7 12
chr14:67362377-67363658 5 1
chr14:67369499-67370780 3 0
chr14:67375132-67376413 0 19
chr14:67403614-67404895 13 36
chr14:67521978-67523259 9 52
chr14:67634255-67636055 20 4
chr14:67688058-67689339 0 2
chr14:67708098-67709520 22 18
chr14:67825794-67827366 40 47
chr14:67848627-67849908 0 1
chr14:67853348-67854629 9 3
chr14:67861879-67863160 10 4
chr14:67880500-67881820 32 18
chr14:67944242-67945824 29 12
chr14:68022956-68024237 31 19
chr14:68023376-68024670 56 25
chr14:68052016-68053297 9 35
chr14:68066535-68067816 11 52
chr14:68075191-68076472 5 24
chr14:68150710-68151991 8 27
chr14:68160990-68162271 22 0
chr14:68170815-68172096 0 28
chr14:68182979-68184260 0 0
chr14:68220618-68221899 0 0
chr14:68260809-68262090 7 1
chr14:68330713-68331994 1 0
chr14:68420059-68421340 0 0
chr14:68547412-68548693 0 0
chr14:68624238-68625589 2 24
chr14:68630221-68631502 0 1
chr14:68715038-68716319 2 0
chr14:68794056-68795337 0 9
chr14:68831753-68833034 1 0
chr14:68850351-68851632 6 34
chr14:68853473-68854754 0 1
chr14:68858614-68859895 2 25
chr14:68860820-68862101 9 6
chr14:68861681-68862962 50 50
chr14:68867491-68868772 0 5
chr14:68868991-68870272 8 37
chr14:68930766-68932047 4 11
chr14:68943406-68944687 25 20
chr14:68954140-68955421 1 0
chr14:68977182-68978463 6 14
chr14:69007568-69008849 0 12
chr14:69013800-69015205 32 4
chr14:69030606-69031887 13 8
chr14:69053661-69054942 14 0
chr14:69059734-69061015 18 8
chr14:69064820-69066179 30 19
chr14:69121823-69123104 24 5
chr14:69134598-69136449 16 56
chr14:69149384-69150665 6 1
chr14:69151603-69152884 25 20
chr14:69161434-69162997 143 214
chr14:69194840-69196121 0 9
chr14:69195788-69197101 21 10
chr14:69206630-69207911 2 3
chr14:69215438-69217005 26 4
chr14:69225193-69226474 16 20
chr14:69258184-69259465 3 0
chr14:69259726-69261007 1 27
chr14:69282410-69283691 26 0
chr14:69340994-69342275 41 10
chr14:69363234-69364515 0 7
chr14:69375449-69376730 7 17
chr14:69417206-69418684 71 67
chr14:69439298-69440867 33 16
chr14:69443695-69444976 20 22
chr14:69444154-69445466 30 31
chr14:69471424-69472705 15 20
chr14:69471848-69473207 18 12
chr14:69476280-69477561 0 32
chr14:69521358-69522733 32 90
chr14:69528270-69529551 5 0
chr14:69704048-69705329 14 20
chr14:69781083-69782364 38 8
chr14:69864696-69866444 106 47
chr14:69887651-69889094 34 19
chr14:69893848-69895129 8 1
chr14:69908078-69909359 13 0
chr14:69909810-69911091 9 1
chr14:69984923-69986498 12 21
chr14:69993971-69995324 47 31
chr14:69994491-69995772 16 13
chr14:69999211-70000492 12 21
chr14:70014840-70016424 15 51
chr14:70024174-70025455 0 26
chr14:70040695-70041976 6 42
chr14:70079084-70080365 16 35
chr14:70124712-70125993 7 12
chr14:70125177-70126458 7 6
chr14:70178880-70180161 18 5
chr14:70193131-70194412 22 0
chr14:70207601-70208882 0 1
chr14:70233160-70234557 38 46
chr14:70234012-70235293 30 10
chr14:70234983-70236264 20 12
chr14:70237123-70238404 12 14
chr14:70242778-70244059 1 28
chr14:70293922-70295203 6 9
chr14:70345502-70346783 4 26
chr14:70383722-70385003 4 4
chr14:70417548-70418829 8 1
chr14:70421696-70422977 4 0
chr14:70465363-70466826 15 36
chr14:70477107-70478649 99 7
chr14:70514805-70516404 30 11
chr14:70535629-70536910 6 35
chr14:70593927-70595208 1 25
chr14:70634572-70635853 11 4
chr14:70652880-70654161 2 10
chr14:70722764-70724045 12 2
chr14:70756458-70757739 11 10
chr14:70761206-70762487 20 0
chr14:70815973-70817254 5 8
chr14:70816403-70817684 22 11
chr14:70826561-70827842 2 28
chr14:70883184-70884465 5 3
chr14:71012973-71014254 0 1
chr14:71013497-71014778 20 5
chr14:71060565-71061846 1 1
chr14:71066287-71067568 0 2
chr14:71102249-71103639 33 26
chr14:71129233-71130514 5 7
chr14:71129831-71131112 0 35
chr14:71145940-71147221 2 0
chr14:71164431-71165881 40 25
chr14:71173769-71175050 14 1
chr14:71245977-71247258 1 14
chr14:71250895-71252176 5 3
chr14:71251740-71253021 8 44
chr14:71331169-71332568 28 20
chr14:71337993-71339274 23 0
chr14:71479195-71480476 4 5
chr14:71542354-71543635 3 2
chr14:71542989-71544270 21 5
chr14:71544128-71545409 0 9
chr14:71596598-71598303 40 31
chr14:71605099-71606380 6 5
chr14:71647196-71648477 9 13
chr14:71654632-71655913 42 8
chr14:71670802-71672083 6 1
chr14:71706268-71707549 0 0
chr14:71724249-71725530 11 38
chr14:71757374-71758655 10 79
chr14:71953218-71954499 17 3
chr14:72053868-72055365 19 6
chr14:72102645-72103926 2 8
chr14:72148158-72149439 0 31
chr14:72168193-72169474 14 0
chr14:72220337-72221618 10 8
chr14:72221142-72222423 10 10
chr14:72240252-72241996 117 43
chr14:72254893-72256174 2 12
chr14:72270268-72271851 36 14
chr14:72296975-72298256 2 0
chr14:72322490-72323771 18 13
chr14:72419470-72420751 10 0
chr14:72456374-72457655 1 16
chr14:72489446-72490727 10 4
chr14:72493879-72495160 28 0
chr14:72571692-72572973 23 1
chr14:72621367-72622896 21 75
chr14:72763501-72764782 18 9
chr14:72874246-72875527 0 34
chr14:72883188-72884469 1 11
chr14:72885408-72886689 13 1
chr14:72895154-72896435 5 22
chr14:72910207-72911488 1 5
chr14:72929610-72930891 9 2
chr14:72955789-72957070 1 7
chr14:72959432-72960713 3 19
chr14:72982907-72984188 1 0
chr14:73000520-73001801 12 39
chr14:73010525-73011806 9 17
chr14:73011825-73013106 16 0
chr14:73012303-73013584 22 13
chr14:73075559-73076840 2 3
chr14:73084900-73086527 57 41
chr14:73086022-73087303 6 2
chr14:73099497-73100778 0 0
chr14:73104269-73105550 8 23
chr14:73109472-73110852 71 90
chr14:73175287-73176568 6 16
chr14:73208433-73209714 9 37
chr14:73211829-73213110 14 2
chr14:73219268-73220549 2 30
chr14:73246428-73247709 2 33
chr14:73276505-73278099 51 26
chr14:73291066-73292347 21 29
chr14:73296578-73297859 13 9
chr14:73338359-73339640 7 10
chr14:73344369-73345650 1 2
chr14:73392154-73393435 6 42
chr14:73427724-73429069 20 10
chr14:73437774-73439055 0 12
chr14:73444488-73445769 0 0
chr14:73483028-73484309 0 15
chr14:73524424-73525872 56 25
chr14:73565269-73566550 24 0
chr14:73704630-73705911 0 2
chr14:73730446-73731818 7 7
chr14:73740468-73741749 1 1
chr14:73859245-73860526 0 3
chr14:73929653-73930934 17 12
chr14:73933545-73935134 49 48
chr14:73959638-73960919 0 1
chr14:74035057-74036674 34 54
